"age","qx","lx","dx","px","Lx","Tx","ex","gender"
0,0.00621580630825695,1e+05,621.580630825695,0.993784193691743,99689.2096845871,7387942.44018238,73.8794244018238,"Male"
1,0.000427465533434972,99378.4193691743,42.4808490475684,0.999572534466565,99357.1789446505,7288253.23049779,73.3383895292513,"Male"
2,0.000280193147227171,99335.9385201267,27.8332492467191,0.999719806852773,99322.0218955034,7188896.05155314,72.3695387455023,"Male"
3,0.000218636856492074,99308.10527088,21.7124119606092,0.999781363143508,99297.2490648997,7089574.02965764,71.3896817416826,"Male"
4,0.000162291476101803,99286.3928589194,16.1133352538976,0.999837708523898,99278.3361912924,6990276.78059274,70.4051842282713,"Male"
5,0.000145695212589365,99270.2795236655,14.4632044790062,0.999854304787411,99263.047921426,6890998.44440145,69.4165310853051,"Male"
6,0.000128500580413471,99255.8163191865,12.7544300064284,0.999871499419587,99249.4391041833,6791735.39648002,68.4265733570634,"Male"
7,0.000122067384176094,99243.0618891801,12.1143409624384,0.999877932615824,99237.0047186988,6692485.95737584,67.4353030829401,"Male"
8,0.00012350665385291,99230.9475482176,12.2556822903339,0.999876493346147,99224.8197070725,6593248.95265714,66.4434746977841,"Male"
9,0.000119290179240628,99218.6918659273,11.8358155367072,0.999880709820759,99212.7739581589,6494024.13295007,65.4516201617064,"Male"
10,0.000131012240120071,99206.8560503906,12.9973124464311,0.99986898775988,99200.3573941674,6394811.35899191,64.4593691764989,"Male"
11,0.000133663689687067,99193.8587379442,13.2586171532113,0.999866336310313,99187.2294293676,6295611.00159774,63.4677497346871,"Male"
12,0.000158179733166007,99180.6001207909,15.6883608623511,0.999841820266834,99172.7559403598,6196423.77216837,62.476167361579,"Male"
13,0.000189149833521584,99164.9117599286,18.7570265505731,0.999810850166478,99155.5332466533,6097251.01622801,61.4859722861352,"Male"
14,0.000257443681034488,99146.154733378,25.5245510349757,0.999742556318965,99133.3924578605,5998095.48298136,60.4975099549884,"Male"
15,0.000359917155451694,99120.630182343,35.6752152618083,0.999640082844548,99102.7925747121,5898962.0905235,59.512959912298,"Male"
16,0.000494420662546413,99084.9549670812,48.9896490832058,0.999505579337454,99060.4601425396,5799859.29794879,58.5342073362769,"Male"
17,0.000654410570878392,99035.965317998,64.8101826012437,0.999345589429122,99003.5602266974,5700798.83780625,57.562914841102,"Male"
18,0.000905771624603475,98971.1551353968,89.6452639758709,0.999094228375397,98926.3325034088,5601795.27757955,56.6002818691573,"Male"
19,0.00105020106564161,98881.5098714209,103.845467039218,0.998949798934358,98829.5871379013,5502868.94507614,55.6511419802521,"Male"
20,0.00114334091693585,98777.6644043817,112.936545392888,0.998856659083064,98721.1961316853,5404039.35793824,54.7091226597024,"Male"
