"age","qx","lx","dx","px","Lx","Tx","ex","gender"
16,0.000236121118449106,99264.3914676388,23.4384191355088,0.999763878881551,99252.6722580711,6157177.54048008,62.0280590999984,"Female"
17,0.000277443794206402,99240.9530485033,27.5337865544362,0.999722556205794,99227.1861552261,6057924.86822201,61.0425906053244,"Female"
18,0.000361354014589789,99213.4192619489,35.8511673514851,0.99963864598541,99195.4936782731,5958697.68206678,60.0593924329358,"Female"
19,0.000386235573074182,99177.5680945974,38.3059048491205,0.999613764426926,99158.4151421728,5859502.18838851,59.0809222383796,"Female"
20,0.000422192280423475,99139.2621897483,41.8558311833906,0.999577807719576,99118.3342741566,5760343.77324633,58.1035570168082,"Female"
21,0.000467085181264949,99097.4063585649,46.2869300118765,0.999532914818735,99074.2628935589,5661225.43897218,57.1278870658645,"Female"
22,0.000483626867361699,99051.119428553,47.9037825979006,0.999516373132638,99027.167537254,5562151.17607862,56.1543494729575,"Female"
23,0.000527145687165598,99003.2156459551,52.1891181432909,0.999472854312834,98977.1210868835,5463124.00854136,55.1812784352178,"Female"
24,0.000538592390373258,98951.0265278118,53.2942699075019,0.999461407609627,98924.3793928581,5364146.88745448,54.2101186383023,"Female"
25,0.000582749605583808,98897.7322579043,57.6326144664268,0.999417250394416,98868.9159506711,5265222.50806162,53.2390620882088,"Female"
26,0.000609746822624151,98840.0996434379,60.2674367054407,0.999390253177376,98809.9659250852,5166353.59211095,52.2698136763155,"Female"
27,0.000665317341426418,98779.8322067324,65.7199353503308,0.999334682658574,98746.9722390573,5067543.62618587,51.3013994150162,"Female"
28,0.00070633086926436,98714.1122713821,69.7248247293049,0.999293669130736,98679.2498590175,4968796.65394681,50.3352209690822,"Female"
29,0.000737126816681137,98644.3874466528,72.7134233020119,0.999262873183319,98608.0307350018,4870117.40408779,49.3704460045592,"Female"
30,0.00080694148523145,98571.6740233508,79.5415730381531,0.999193058514769,98531.9032368317,4771509.37335279,48.4064962944878,"Female"
31,0.000850525378016981,98492.1324503127,83.7700581840007,0.999149474621983,98450.2474212206,4672977.47011596,47.4451852534859,"Female"
32,0.000912052911583503,98408.3623921286,89.7536334439054,0.999087947088417,98363.4855754067,4574527.22269474,46.4851473136661,"Female"
33,0.000968157904522031,98318.6087586847,95.1879382313297,0.999031842095478,98271.0147895691,4476163.73711933,45.5271264883916,"Female"
34,0.000999046282617772,98223.4208204534,98.1297434366751,0.999000953717382,98174.3559487351,4377892.72232976,44.5707621029845,"Female"
35,0.00106035615836882,98125.2910770167,104.047756685248,0.998939643841631,98073.2671986741,4279718.36638103,43.6148348647644,"Female"
36,0.0011288381481781,98021.2433203315,110.650118791838,0.998871161851822,97965.9182609356,4181645.09918235,42.6606004732751,"Female"
37,0.00117966942358872,97910.5932015397,115.50213304529,0.998820330576411,97852.842135017,4083679.18092142,41.7082467523769,"Female"
38,0.00125708600864889,97795.0910684944,122.936840696748,0.998742913991351,97733.622648146,3985826.3387864,40.7569162750181,"Female"
39,0.00133919720537803,97672.1542277976,130.802275985119,0.998660802794622,97606.753089805,3888092.71613825,39.8075863778962,"Female"
40,0.00140681453268683,97541.3519518125,137.222591463731,0.998593185467313,97472.7406560806,3790485.96304845,38.8602975784161,"Female"
41,0.00148330184588323,97404.1293603488,144.479724876854,0.998516698154117,97331.8894979103,3693013.22239237,37.9143394293889,"Female"
42,0.00160266287661707,97259.6496354719,155.874429863553,0.998397337123383,97181.7124205401,3595681.33289446,36.9699186288562,"Female"
43,0.00173239020817445,97103.7752056083,168.221629342969,0.998267609791826,97019.6643909369,3498499.62047392,36.0284614379427,"Female"
44,0.001839451426416,96935.5535762654,178.308242296286,0.998160548573584,96846.3994551172,3401479.95608298,35.0901174088496,"Female"
45,0.00202184881856331,96757.2453339691,195.628522165926,0.997978151181437,96659.4310728861,3304633.55662786,34.1538615038236,"Female"
46,0.00221224566306045,96561.6168118032,213.618018010016,0.99778775433694,96454.8078027982,3207974.12555498,33.2220423753598,"Female"
47,0.00235849093732176,96347.9987937931,227.235881984249,0.997641509062678,96234.380852801,3111519.31775218,32.2945920694372,"Female"
48,0.0025933630627889,96120.7629118089,249.276036102574,0.997406636937211,95996.1248937576,3015284.93689938,31.3697566015566,"Female"
49,0.00283183415359618,95871.4868757063,271.492150890673,0.997168165846404,95735.740800261,2919288.81200562,30.4500212434419,"Female"
50,0.00310888710479852,95599.9947248157,297.209590818786,0.996891112895201,95451.3899294063,2823553.07120536,29.5350755963214,"Female"
51,0.00339474684304674,95302.7851339969,323.528828967198,0.996605253156953,95141.0207195133,2728101.68127595,28.6256238727988,"Female"
52,0.00369231414303044,94979.2563050297,350.693251349574,0.99630768585697,94803.9096793549,2632960.66055644,27.7214284780308,"Female"
53,0.00402404756636235,94628.5630536801,380.789838864528,0.995975952433638,94438.1681342478,2538156.75087708,26.82231103348,"Female"
54,0.00437330366655525,94247.7732148156,412.17413216502,0.995626696333445,94041.686148733,2443718.58274284,25.9286612233581,"Female"
55,0.00474362249576195,93835.5990826505,445.12065871176,0.995256377504238,93613.0387532947,2349676.8965941,25.0403569600968,"Female"
56,0.00516098467320507,93390.4784239388,481.986827769236,0.994839015326795,93149.4850100542,2256063.85784081,24.1573219873613,"Female"
57,0.0055893737927448,92908.4915961696,519.300288051081,0.994410626207255,92648.841452144,2162914.37283076,23.2800504633306,"Female"
58,0.00598212429500587,92389.1913081185,552.683625920241,0.994017875704994,92112.8494951584,2070265.53137861,22.4080923543779,"Female"
59,0.00640006747049697,91836.5076821982,587.759845420882,0.993599932529503,91542.6277594878,1978152.68188345,21.5399380029659,"Female"
60,0.00689049207010229,91248.7478367774,628.748773376078,0.993109507929898,90934.3734500893,1886610.05412397,20.6754623909872,"Female"
61,0.00735941018237378,90619.9990634013,666.909743833898,0.992640589817626,90286.5441914843,1795675.68067388,19.8154458092363,"Female"
62,0.00791590049550516,89953.0893195674,712.059704316983,0.992084099504495,89597.0594674089,1705389.13648239,18.9586499961533,"Female"
63,0.00849143962264484,89241.0296152504,757.784814840559,0.991508560377355,88862.1372078301,1615792.07701498,18.1059327080966,"Female"
64,0.00908467039820391,88483.2448004098,803.841114775313,0.990915329601796,88081.3242430222,1526929.93980715,17.2567127624153,"Female"
65,0.00972906964948719,87679.4036856345,853.039025283042,0.990270930350513,87252.884172993,1438848.61556413,16.4103376058872,"Female"
66,0.0104547010357232,86826.3646603515,907.74368454266,0.989545298964277,86372.4928180802,1351595.73139114,15.5666511741949,"Female"
67,0.0113756278397659,85918.6209758088,977.378256726705,0.988624372160234,85429.9318474455,1265223.23857306,14.725832703126,"Female"
68,0.0123114434519571,84941.2427190821,1045.74930647494,0.987688556548043,84418.3680658447,1179793.30672561,13.8895225565209,"Female"
69,0.0135872768215478,83895.4934126072,1139.91129307744,0.986412723178452,83325.5377660685,1095374.93865977,13.0564216753884,"Female"
70,0.0149505577086416,82755.5821195297,1237.24210619025,0.985049442291358,82136.9610664346,1012049.4008937,12.2293792753693,"Female"
71,0.0164228616016692,81518.3400133395,1338.76441603689,0.983577138398331,80848.957805321,929912.439827264,11.407401569697,"Female"
72,0.018193212747588,80179.5755973026,1458.72407685304,0.981806787252412,79450.2135588761,849063.482021943,10.589523275682,"Female"
73,0.0201104528308393,78720.8515204496,1583.11197130551,0.979889547169161,77929.2955347968,769613.268463067,9.77648556384254,"Female"
74,0.0219654133679909,77137.7395491441,1694.36233546937,0.978034586632009,76290.5583814094,691683.97292827,8.9668685778328,"Female"
